component_id,n_nodes,n_edges,total_length_km,n_anchored_grid_cells,calibrated_population,n_districts,districts,bbox_extent_km2,node_rank,component_class
9,2,2,0.08,0,0.0,0,,,546,QUESTIONABLE_FRAGMENT
639,2,2,0.01,0,0.0,0,,,547,QUESTIONABLE_FRAGMENT
640,2,2,0.01,0,0.0,0,,,548,QUESTIONABLE_FRAGMENT
641,2,2,0.04,0,0.0,0,,,549,QUESTIONABLE_FRAGMENT
8,2,2,0.09,0,0.0,0,,,550,QUESTIONABLE_FRAGMENT
627,2,2,0.04,0,0.0,0,,,551,QUESTIONABLE_FRAGMENT
368,2,2,0.03,0,0.0,0,,,552,QUESTIONABLE_FRAGMENT
618,2,2,0.04,0,0.0,0,,,553,QUESTIONABLE_FRAGMENT
700,2,2,0.0,0,0.0,0,,,554,QUESTIONABLE_FRAGMENT
612,2,2,0.03,0,0.0,0,,,555,QUESTIONABLE_FRAGMENT
143,2,2,0.03,0,0.0,0,,,556,QUESTIONABLE_FRAGMENT
428,2,2,0.22,0,0.0,0,,,557,QUESTIONABLE_FRAGMENT
141,2,2,0.24,0,0.0,0,,,558,QUESTIONABLE_FRAGMENT
427,2,2,0.16,0,0.0,0,,,559,QUESTIONABLE_FRAGMENT
4,2,2,0.09,0,0.0,0,,,560,QUESTIONABLE_FRAGMENT
425,2,2,0.04,1,585.1,1,Sancaktepe,0.25,561,SMALL_LOCAL_COMPONENT
114,2,2,0.03,0,0.0,0,,,562,QUESTIONABLE_FRAGMENT
138,2,2,0.05,0,0.0,0,,,563,QUESTIONABLE_FRAGMENT
137,2,2,0.05,0,0.0,0,,,564,QUESTIONABLE_FRAGMENT
136,2,2,0.05,0,0.0,0,,,565,QUESTIONABLE_FRAGMENT
135,2,2,0.07,0,0.0,0,,,566,QUESTIONABLE_FRAGMENT
624,2,2,0.03,0,0.0,0,,,567,QUESTIONABLE_FRAGMENT
424,2,2,0.04,0,0.0,0,,,568,QUESTIONABLE_FRAGMENT
422,2,2,0.09,0,0.0,0,,,569,QUESTIONABLE_FRAGMENT
642,2,2,0.02,0,0.0,0,,,570,QUESTIONABLE_FRAGMENT
100,2,2,0.06,0,0.0,0,,,571,QUESTIONABLE_FRAGMENT
400,2,2,0.06,0,0.0,0,,,572,QUESTIONABLE_FRAGMENT
87,2,2,0.05,0,0.0,0,,,573,QUESTIONABLE_FRAGMENT
79,2,2,0.02,0,0.0,0,,,574,QUESTIONABLE_FRAGMENT
406,2,2,0.17,0,0.0,0,,,575,QUESTIONABLE_FRAGMENT
77,2,2,0.07,0,0.0,0,,,576,QUESTIONABLE_FRAGMENT
35,2,2,0.02,0,0.0,0,,,577,QUESTIONABLE_FRAGMENT
72,2,2,0.02,0,0.0,0,,,578,QUESTIONABLE_FRAGMENT
682,2,2,0.04,0,0.0,0,,,579,QUESTIONABLE_FRAGMENT
681,2,2,0.01,0,0.0,0,,,580,QUESTIONABLE_FRAGMENT
36,2,2,0.01,0,0.0,0,,,581,QUESTIONABLE_FRAGMENT
69,2,2,0.11,0,0.0,0,,,582,QUESTIONABLE_FRAGMENT
43,2,2,0.07,0,0.0,0,,,583,QUESTIONABLE_FRAGMENT
61,2,2,0.0,0,0.0,0,,,584,QUESTIONABLE_FRAGMENT
409,2,2,0.21,0,0.0,0,,,585,QUESTIONABLE_FRAGMENT
53,2,2,0.04,0,0.0,0,,,586,QUESTIONABLE_FRAGMENT
674,2,2,0.17,0,0.0,0,,,587,QUESTIONABLE_FRAGMENT
678,2,2,0.01,0,0.0,0,,,588,QUESTIONABLE_FRAGMENT
84,2,2,0.14,0,0.0,0,,,589,QUESTIONABLE_FRAGMENT
411,2,2,0.08,0,0.0,0,,,590,QUESTIONABLE_FRAGMENT
644,2,2,0.04,0,0.0,0,,,591,QUESTIONABLE_FRAGMENT
661,2,2,0.17,1,216.1,1,Arnavutköy,0.25,592,SMALL_LOCAL_COMPONENT
417,2,2,0.01,0,0.0,0,,,593,QUESTIONABLE_FRAGMENT
105,2,2,0.05,0,0.0,0,,,594,QUESTIONABLE_FRAGMENT
381,2,2,0.13,0,0.0,0,,,595,QUESTIONABLE_FRAGMENT
98,2,2,0.04,0,0.0,0,,,596,QUESTIONABLE_FRAGMENT
649,2,2,0.09,0,0.0,0,,,597,QUESTIONABLE_FRAGMENT
650,2,2,0.02,0,0.0,0,,,598,QUESTIONABLE_FRAGMENT
651,2,2,0.29,0,0.0,0,,,599,QUESTIONABLE_FRAGMENT
653,2,2,0.02,0,0.0,0,,,600,QUESTIONABLE_FRAGMENT
22,2,2,0.02,0,0.0,0,,,601,QUESTIONABLE_FRAGMENT
96,2,2,0.01,0,0.0,0,,,602,QUESTIONABLE_FRAGMENT
94,2,2,0.05,0,0.0,0,,,603,QUESTIONABLE_FRAGMENT
658,2,2,0.02,0,0.0,0,,,604,QUESTIONABLE_FRAGMENT
23,2,2,0.08,0,0.0,0,,,605,QUESTIONABLE_FRAGMENT
92,2,2,0.2,0,0.0,0,,,606,QUESTIONABLE_FRAGMENT
27,2,2,0.11,0,0.0,0,,,607,QUESTIONABLE_FRAGMENT
366,2,2,0.05,0,0.0,0,,,608,QUESTIONABLE_FRAGMENT
289,2,2,0.08,0,0.0,0,,,609,QUESTIONABLE_FRAGMENT
365,2,2,0.0,0,0.0,0,,,610,QUESTIONABLE_FRAGMENT
462,2,2,0.06,0,0.0,0,,,611,QUESTIONABLE_FRAGMENT
524,2,2,0.01,0,0.0,0,,,612,QUESTIONABLE_FRAGMENT
525,2,2,0.0,0,0.0,0,,,613,QUESTIONABLE_FRAGMENT
526,2,2,0.0,0,0.0,0,,,614,QUESTIONABLE_FRAGMENT
528,2,2,0.03,0,0.0,0,,,615,QUESTIONABLE_FRAGMENT
264,2,2,0.04,1,5962.9,1,Küçükçekmece,0.25,616,LARGE_LOCAL_VALID_COMPONENT
467,2,2,0.08,0,0.0,0,,,617,QUESTIONABLE_FRAGMENT
261,2,2,0.02,0,0.0,0,,,618,QUESTIONABLE_FRAGMENT
532,2,2,0.08,0,0.0,0,,,619,QUESTIONABLE_FRAGMENT
466,2,2,0.09,0,0.0,0,,,620,QUESTIONABLE_FRAGMENT
329,2,2,0.03,0,0.0,0,,,621,QUESTIONABLE_FRAGMENT
554,2,2,0.09,0,0.0,0,,,622,QUESTIONABLE_FRAGMENT
457,2,2,0.01,0,0.0,0,,,623,QUESTIONABLE_FRAGMENT
242,2,2,0.01,1,5677.6,1,Fatih,0.25,624,LARGE_LOCAL_VALID_COMPONENT
241,2,2,0.12,0,0.0,0,,,625,QUESTIONABLE_FRAGMENT
240,2,2,0.03,0,0.0,0,,,626,QUESTIONABLE_FRAGMENT
456,2,2,0.01,0,0.0,0,,,627,QUESTIONABLE_FRAGMENT
332,2,2,0.04,0,0.0,0,,,628,QUESTIONABLE_FRAGMENT
216,2,2,0.03,0,0.0,0,,,629,QUESTIONABLE_FRAGMENT
213,2,2,0.07,0,0.0,0,,,630,QUESTIONABLE_FRAGMENT
212,2,2,0.01,0,0.0,0,,,631,QUESTIONABLE_FRAGMENT
321,2,2,0.13,0,0.0,0,,,632,QUESTIONABLE_FRAGMENT
268,2,2,0.03,0,0.0,0,,,633,QUESTIONABLE_FRAGMENT
312,2,2,0.04,0,0.0,0,,,634,QUESTIONABLE_FRAGMENT
271,2,2,0.01,0,0.0,0,,,635,QUESTIONABLE_FRAGMENT
491,2,2,0.08,0,0.0,0,,,636,QUESTIONABLE_FRAGMENT
291,2,2,0.03,0,0.0,0,,,637,QUESTIONABLE_FRAGMENT
294,2,2,0.12,0,0.0,0,,,638,QUESTIONABLE_FRAGMENT
295,2,2,0.12,0,0.0,0,,,639,QUESTIONABLE_FRAGMENT
296,2,2,0.14,2,824.7,1,Büyükçekmece,0.5,640,SMALL_LOCAL_COMPONENT
485,2,2,0.06,0,0.0,0,,,641,QUESTIONABLE_FRAGMENT
484,2,2,0.06,0,0.0,0,,,642,QUESTIONABLE_FRAGMENT
503,2,2,0.09,4,1823.6,1,Arnavutköy,1.0,643,SMALL_LOCAL_COMPONENT
301,2,2,0.05,0,0.0,0,,,644,QUESTIONABLE_FRAGMENT
302,2,2,0.06,0,0.0,0,,,645,QUESTIONABLE_FRAGMENT
303,2,2,0.09,0,0.0,0,,,646,QUESTIONABLE_FRAGMENT
304,2,2,0.08,0,0.0,0,,,647,QUESTIONABLE_FRAGMENT
510,2,2,0.04,0,0.0,0,,,648,QUESTIONABLE_FRAGMENT
511,2,2,0.03,0,0.0,0,,,649,QUESTIONABLE_FRAGMENT
512,2,2,0.09,0,0.0,0,,,650,QUESTIONABLE_FRAGMENT
513,2,2,0.05,0,0.0,0,,,651,QUESTIONABLE_FRAGMENT
276,2,2,0.08,0,0.0,0,,,652,QUESTIONABLE_FRAGMENT
273,2,2,0.07,0,0.0,0,,,653,QUESTIONABLE_FRAGMENT
309,2,2,0.01,0,0.0,0,,,654,QUESTIONABLE_FRAGMENT
211,2,2,0.01,0,0.0,0,,,655,QUESTIONABLE_FRAGMENT
555,2,2,0.04,0,0.0,0,,,656,QUESTIONABLE_FRAGMENT
607,2,2,0.05,0,0.0,0,,,657,QUESTIONABLE_FRAGMENT
162,2,2,0.05,0,0.0,0,,,658,QUESTIONABLE_FRAGMENT
174,2,2,0.09,0,0.0,0,,,659,QUESTIONABLE_FRAGMENT
586,2,2,0.02,0,0.0,0,,,660,QUESTIONABLE_FRAGMENT
346,2,2,0.03,0,0.0,0,,,661,QUESTIONABLE_FRAGMENT
442,2,2,0.1,0,0.0,0,,,662,QUESTIONABLE_FRAGMENT
347,2,2,0.0,0,0.0,0,,,663,QUESTIONABLE_FRAGMENT
167,2,2,0.21,1,4109.9,1,Tuzla,0.25,664,SMALL_LOCAL_COMPONENT
349,2,2,0.05,0,0.0,0,,,665,QUESTIONABLE_FRAGMENT
592,2,2,0.19,0,0.0,0,,,666,QUESTIONABLE_FRAGMENT
350,2,2,0.04,0,0.0,0,,,667,QUESTIONABLE_FRAGMENT
595,2,2,0.08,0,0.0,0,,,668,QUESTIONABLE_FRAGMENT
556,2,2,0.04,0,0.0,0,,,669,QUESTIONABLE_FRAGMENT
596,2,2,0.09,1,0.0,1,Çatalca,0.25,670,QUESTIONABLE_FRAGMENT
438,2,2,0.04,0,0.0,0,,,671,QUESTIONABLE_FRAGMENT
352,2,2,0.12,0,0.0,0,,,672,QUESTIONABLE_FRAGMENT
355,2,2,0.04,0,0.0,0,,,673,QUESTIONABLE_FRAGMENT
359,2,2,0.02,0,0.0,0,,,674,QUESTIONABLE_FRAGMENT
157,2,2,0.03,0,0.0,0,,,675,QUESTIONABLE_FRAGMENT
156,2,2,0.04,0,0.0,0,,,676,QUESTIONABLE_FRAGMENT
364,2,2,0.04,0,0.0,0,,,677,QUESTIONABLE_FRAGMENT
151,2,2,0.11,0,0.0,0,,,678,QUESTIONABLE_FRAGMENT
175,2,2,0.07,0,0.0,0,,,679,QUESTIONABLE_FRAGMENT
176,2,2,0.07,0,0.0,0,,,680,QUESTIONABLE_FRAGMENT
177,2,2,0.07,0,0.0,0,,,681,QUESTIONABLE_FRAGMENT
178,2,2,0.14,0,0.0,0,,,682,QUESTIONABLE_FRAGMENT
452,2,2,0.03,0,0.0,0,,,683,QUESTIONABLE_FRAGMENT
209,2,2,0.01,0,0.0,0,,,684,QUESTIONABLE_FRAGMENT
560,2,2,0.19,1,874.7,1,Pendik,0.25,685,SMALL_LOCAL_COMPONENT
450,2,2,0.03,0,0.0,0,,,686,QUESTIONABLE_FRAGMENT
339,2,2,0.04,3,0.0,1,Çekmeköy,1.0,687,QUESTIONABLE_FRAGMENT
563,2,2,0.03,0,0.0,0,,,688,QUESTIONABLE_FRAGMENT
196,2,2,0.06,0,0.0,0,,,689,QUESTIONABLE_FRAGMENT
446,2,2,0.07,0,0.0,0,,,690,QUESTIONABLE_FRAGMENT
568,2,2,0.04,0,0.0,0,,,691,QUESTIONABLE_FRAGMENT
189,2,2,0.06,0,0.0,0,,,692,QUESTIONABLE_FRAGMENT
571,2,2,0.06,0,0.0,0,,,693,QUESTIONABLE_FRAGMENT
187,2,2,0.09,0,0.0,0,,,694,QUESTIONABLE_FRAGMENT
573,2,2,0.01,0,0.0,0,,,695,QUESTIONABLE_FRAGMENT
574,2,2,0.06,0,0.0,0,,,696,QUESTIONABLE_FRAGMENT
575,2,2,0.03,0,0.0,0,,,697,QUESTIONABLE_FRAGMENT
184,2,2,0.15,0,0.0,0,,,698,QUESTIONABLE_FRAGMENT
183,2,2,0.13,0,0.0,0,,,699,QUESTIONABLE_FRAGMENT
182,2,2,0.22,0,0.0,0,,,700,QUESTIONABLE_FRAGMENT
180,2,2,0.11,0,0.0,0,,,701,QUESTIONABLE_FRAGMENT
598,2,2,0.04,0,0.0,0,,,702,QUESTIONABLE_FRAGMENT
