variant_a,variant_b,jaccard_top_decile
readiness__infrastructure_readiness_oriented__T2__uf_sat,opportunity__balanced_equal_dimensions__demand_tr,0.1865
readiness__infrastructure_readiness_oriented__T2__uf_sat,opportunity__demand_oriented__demand_sat,0.2351
readiness__infrastructure_readiness_oriented__T2__uf_sat,opportunity__demand_oriented__demand_tr,0.2279
readiness__infrastructure_readiness_oriented__T2__uf_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.1341
readiness__infrastructure_readiness_oriented__T2__uf_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.0976
readiness__infrastructure_readiness_oriented__T2__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.2047
readiness__infrastructure_readiness_oriented__T2__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.1865
readiness__infrastructure_readiness_oriented__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.3155
readiness__infrastructure_readiness_oriented__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.3139
readiness__infrastructure_readiness_oriented__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.5222
readiness__infrastructure_readiness_oriented__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.5237
readiness__infrastructure_readiness_oriented__T2__uf_tr,opportunity__balanced_equal_dimensions__demand_sat,0.1576
readiness__infrastructure_readiness_oriented__T2__uf_tr,opportunity__balanced_equal_dimensions__demand_tr,0.1507
readiness__infrastructure_readiness_oriented__T2__uf_tr,opportunity__demand_oriented__demand_sat,0.1824
readiness__infrastructure_readiness_oriented__T2__uf_tr,opportunity__demand_oriented__demand_tr,0.189
readiness__infrastructure_readiness_oriented__T2__uf_tr,opportunity__infrastructure_readiness_oriented__demand_sat,0.1014
readiness__infrastructure_readiness_oriented__T2__uf_tr,opportunity__infrastructure_readiness_oriented__demand_tr,0.0795
readiness__infrastructure_readiness_oriented__T2__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.1576
readiness__infrastructure_readiness_oriented__T2__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.1507
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.9401
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.1344
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.1309
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,opportunity__balanced_equal_dimensions__demand_sat,0.3505
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,opportunity__balanced_equal_dimensions__demand_tr,0.3159
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,opportunity__demand_oriented__demand_sat,0.3904
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,opportunity__demand_oriented__demand_tr,0.3742
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.2371
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.1809
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.3505
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.3159
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.1332
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.1324
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,opportunity__balanced_equal_dimensions__demand_sat,0.3395
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,opportunity__balanced_equal_dimensions__demand_tr,0.3104
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,opportunity__demand_oriented__demand_sat,0.3784
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,opportunity__demand_oriented__demand_tr,0.3687
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,opportunity__infrastructure_readiness_oriented__demand_sat,0.2317
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,opportunity__infrastructure_readiness_oriented__demand_tr,0.1793
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.3395
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.3104
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.8647
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,opportunity__balanced_equal_dimensions__demand_sat,0.0989
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,opportunity__balanced_equal_dimensions__demand_tr,0.0968
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,opportunity__demand_oriented__demand_sat,0.1085
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,opportunity__demand_oriented__demand_tr,0.1148
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.0827
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.0806
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.0989
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.0968
readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,opportunity__balanced_equal_dimensions__demand_sat,0.0965
readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,opportunity__balanced_equal_dimensions__demand_tr,0.0965
readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,opportunity__demand_oriented__demand_sat,0.1041
readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,opportunity__demand_oriented__demand_tr,0.1129
readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,opportunity__infrastructure_readiness_oriented__demand_sat,0.08
readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,opportunity__infrastructure_readiness_oriented__demand_tr,0.0795
readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.0965
readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.0965
opportunity__balanced_equal_dimensions__demand_sat,opportunity__balanced_equal_dimensions__demand_tr,0.8485
opportunity__balanced_equal_dimensions__demand_sat,opportunity__demand_oriented__demand_sat,0.8616
opportunity__balanced_equal_dimensions__demand_sat,opportunity__demand_oriented__demand_tr,0.8001
opportunity__balanced_equal_dimensions__demand_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.6293
opportunity__balanced_equal_dimensions__demand_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.4992
opportunity__balanced_equal_dimensions__demand_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,1.0
