variant_a,variant_b,spearman_rho,jaccard_top_decile,mean_abs_score_diff,mean_rank_displacement,top_decile_entries_b_not_a,top_decile_exits_a_not_b,differing_factors,n_differing_factors,score_type
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.9484,0.2863,0.0445,0.0607,1239,1239,"scenario,transit_variant",2,readiness
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.9359,0.5888,0.0656,0.0718,578,578,"scenario,uf_variant",2,readiness
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.9386,0.6076,0.064,0.0702,545,545,scenario,1,readiness
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9805,0.3978,0.0573,0.0379,962,962,"scenario,transit_variant,uf_variant",3,readiness
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.9813,0.4268,0.0557,0.0372,897,897,"scenario,transit_variant",2,readiness
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.9833,0.6169,0.0369,0.0344,529,529,"scenario,uf_variant",2,readiness
readiness__balanced_equal_dimensions__T2__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.985,0.7694,0.0356,0.0311,291,291,scenario,1,readiness
readiness__demand_oriented__T1__uf_sat,readiness__demand_oriented__T1__uf_tr,0.9993,0.8229,0.006,0.0052,217,217,uf_variant,1,readiness
readiness__demand_oriented__T1__uf_sat,readiness__demand_oriented__T2__uf_sat,0.9885,0.4552,0.0409,0.03,836,836,transit_variant,1,readiness
readiness__demand_oriented__T1__uf_sat,readiness__demand_oriented__T2__uf_tr,0.9859,0.378,0.0418,0.0326,1008,1008,"transit_variant,uf_variant",2,readiness
readiness__demand_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.9539,0.7687,0.0406,0.0553,292,292,scenario,1,readiness
readiness__demand_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.9539,0.7418,0.0402,0.0553,331,331,"scenario,uf_variant",2,readiness
readiness__demand_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.8971,0.2054,0.0974,0.0976,1472,1472,"scenario,transit_variant",2,readiness
readiness__demand_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.8985,0.2009,0.0974,0.0967,1486,1486,"scenario,transit_variant,uf_variant",3,readiness
readiness__demand_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9841,0.8671,0.0312,0.0326,159,159,scenario,1,readiness
readiness__demand_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.983,0.8008,0.03,0.0339,247,247,"scenario,uf_variant",2,readiness
readiness__demand_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.971,0.4862,0.0379,0.0496,772,772,"scenario,transit_variant",2,readiness
readiness__demand_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.969,0.4191,0.037,0.0513,914,914,"scenario,transit_variant,uf_variant",3,readiness
readiness__demand_oriented__T1__uf_tr,readiness__demand_oriented__T2__uf_sat,0.9882,0.4434,0.0409,0.03,861,861,"transit_variant,uf_variant",2,readiness
readiness__demand_oriented__T1__uf_tr,readiness__demand_oriented__T2__uf_tr,0.9876,0.4115,0.0409,0.0309,931,931,transit_variant,1,readiness
readiness__demand_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.9545,0.735,0.0429,0.0561,341,341,"scenario,uf_variant",2,readiness
readiness__demand_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.9551,0.7432,0.0416,0.0551,329,329,scenario,1,readiness
readiness__demand_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.898,0.2172,0.0981,0.097,1436,1436,"scenario,transit_variant,uf_variant",3,readiness
readiness__demand_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.9006,0.2169,0.0976,0.0959,1437,1437,"scenario,transit_variant",2,readiness
readiness__demand_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9845,0.761,0.0331,0.0341,303,303,"scenario,uf_variant",2,readiness
readiness__demand_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.9844,0.8694,0.0317,0.0324,156,156,scenario,1,readiness
readiness__demand_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.9714,0.4667,0.0405,0.0497,812,812,"scenario,transit_variant,uf_variant",3,readiness
readiness__demand_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.971,0.4462,0.0386,0.05,855,855,"scenario,transit_variant",2,readiness
readiness__demand_oriented__T2__uf_sat,readiness__demand_oriented__T2__uf_tr,0.9982,0.727,0.006,0.0081,353,353,uf_variant,1,readiness
readiness__demand_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.9475,0.3355,0.044,0.0605,1111,1111,"scenario,transit_variant",2,readiness
readiness__demand_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.9477,0.3213,0.0437,0.0604,1147,1147,"scenario,transit_variant,uf_variant",3,readiness
readiness__demand_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.9343,0.5347,0.0626,0.0731,677,677,scenario,1,readiness
readiness__demand_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.935,0.5165,0.0621,0.0727,712,712,"scenario,uf_variant",2,readiness
readiness__demand_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9816,0.4847,0.0552,0.0364,775,775,"scenario,transit_variant",2,readiness
readiness__demand_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.9807,0.4696,0.0544,0.0369,806,806,"scenario,transit_variant,uf_variant",3,readiness
readiness__demand_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.984,0.79,0.035,0.0316,262,262,scenario,1,readiness
readiness__demand_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.9829,0.7098,0.0339,0.0335,379,379,"scenario,uf_variant",2,readiness
readiness__demand_oriented__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.9472,0.2833,0.0452,0.0613,1247,1247,"scenario,transit_variant,uf_variant",3,readiness
readiness__demand_oriented__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.9484,0.2863,0.0445,0.0607,1239,1239,"scenario,transit_variant",2,readiness
readiness__demand_oriented__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.9359,0.5888,0.0656,0.0718,578,578,"scenario,uf_variant",2,readiness
readiness__demand_oriented__T2__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.9386,0.6076,0.064,0.0702,545,545,scenario,1,readiness
readiness__demand_oriented__T2__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9805,0.3978,0.0573,0.0379,962,962,"scenario,transit_variant,uf_variant",3,readiness
readiness__demand_oriented__T2__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.9813,0.4268,0.0557,0.0372,897,897,"scenario,transit_variant",2,readiness
readiness__demand_oriented__T2__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.9833,0.6169,0.0369,0.0344,529,529,"scenario,uf_variant",2,readiness
readiness__demand_oriented__T2__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.985,0.7694,0.0356,0.0311,291,291,scenario,1,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.9998,0.9401,0.0028,0.0031,69,69,uf_variant,1,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.9464,0.1344,0.0866,0.0611,1704,1704,transit_variant,1,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.9479,0.1309,0.0868,0.0601,1716,1716,"transit_variant,uf_variant",2,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9833,0.702,0.0389,0.0346,391,391,scenario,1,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.9829,0.6923,0.0399,0.0348,406,406,"scenario,uf_variant",2,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.9765,0.3628,0.0328,0.041,1044,1044,"scenario,transit_variant",2,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.9748,0.3155,0.0332,0.042,1162,1162,"scenario,transit_variant,uf_variant",3,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.9463,0.1332,0.0864,0.0611,1708,1708,"transit_variant,uf_variant",2,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.9485,0.1324,0.0866,0.0599,1711,1711,transit_variant,1,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9834,0.6739,0.0393,0.0346,435,435,"scenario,uf_variant",2,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.9837,0.691,0.0391,0.0341,408,408,scenario,1,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.9767,0.3456,0.0327,0.0409,1086,1086,"scenario,transit_variant,uf_variant",3,readiness
readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.9759,0.3139,0.0329,0.0416,1166,1166,"scenario,transit_variant",2,readiness
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.9992,0.8647,0.0028,0.0058,162,162,uf_variant,1,readiness
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9382,0.2286,0.1023,0.0731,1402,1402,"scenario,transit_variant",2,readiness
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.9379,0.2361,0.1022,0.0727,1380,1380,"scenario,transit_variant,uf_variant",3,readiness
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.9635,0.4643,0.076,0.0556,817,817,scenario,1,readiness
readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.9639,0.5222,0.0759,0.0543,701,701,"scenario,uf_variant",2,readiness
readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9395,0.2232,0.1027,0.0723,1418,1418,"scenario,transit_variant,uf_variant",3,readiness
readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.9402,0.2354,0.1022,0.0717,1382,1382,"scenario,transit_variant",2,readiness
readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.9641,0.4444,0.0768,0.0553,859,859,"scenario,uf_variant",2,readiness
readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.9661,0.5237,0.0758,0.0533,698,698,scenario,1,readiness
readiness__infrastructure_readiness_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.9994,0.8508,0.0043,0.0047,180,180,uf_variant,1,readiness
readiness__infrastructure_readiness_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.9937,0.5411,0.0289,0.0208,665,665,transit_variant,1,readiness
readiness__infrastructure_readiness_oriented__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.9921,0.4628,0.0295,0.0227,820,820,"transit_variant,uf_variant",2,readiness
readiness__infrastructure_readiness_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.9932,0.517,0.0289,0.0212,711,711,"transit_variant,uf_variant",2,readiness
readiness__infrastructure_readiness_oriented__T1__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.993,0.4887,0.0289,0.0216,767,767,transit_variant,1,readiness
readiness__infrastructure_readiness_oriented__T2__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.9987,0.7377,0.0043,0.0067,337,337,uf_variant,1,readiness
opportunity__balanced_equal_dimensions__demand_sat,opportunity__balanced_equal_dimensions__demand_tr,0.9983,0.8485,0.0085,0.0069,183,183,demand_variant,1,opportunity
opportunity__balanced_equal_dimensions__demand_sat,opportunity__demand_oriented__demand_sat,0.9885,0.8616,0.0339,0.0156,166,166,scenario,1,opportunity
opportunity__balanced_equal_dimensions__demand_sat,opportunity__demand_oriented__demand_tr,0.9911,0.8001,0.0258,0.0128,248,248,"demand_variant,scenario",2,opportunity
opportunity__balanced_equal_dimensions__demand_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,1.0,1.0,0.0,0.0,0,0,scenario,1,opportunity
opportunity__balanced_equal_dimensions__demand_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.9983,0.8485,0.0085,0.0069,183,183,"demand_variant,scenario",2,opportunity
opportunity__balanced_equal_dimensions__demand_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.9931,0.6293,0.0349,0.0137,508,508,scenario,1,opportunity
opportunity__balanced_equal_dimensions__demand_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.989,0.4992,0.0397,0.019,746,746,"demand_variant,scenario",2,opportunity
opportunity__balanced_equal_dimensions__demand_tr,opportunity__demand_oriented__demand_sat,0.9834,0.7466,0.0411,0.0215,324,324,"demand_variant,scenario",2,opportunity
opportunity__balanced_equal_dimensions__demand_tr,opportunity__demand_oriented__demand_tr,0.9925,0.803,0.0325,0.011,244,244,scenario,1,opportunity
opportunity__balanced_equal_dimensions__demand_tr,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.9983,0.8485,0.0085,0.0069,183,183,"demand_variant,scenario",2,opportunity
opportunity__balanced_equal_dimensions__demand_tr,opportunity__first_last_mile_transit_integration_oriented__demand_tr,1.0,1.0,0.0,0.0,0,0,scenario,1,opportunity
opportunity__balanced_equal_dimensions__demand_tr,opportunity__infrastructure_readiness_oriented__demand_sat,0.9942,0.6994,0.028,0.0115,395,395,"demand_variant,scenario",2,opportunity
opportunity__balanced_equal_dimensions__demand_tr,opportunity__infrastructure_readiness_oriented__demand_tr,0.9917,0.5599,0.0326,0.0146,630,630,scenario,1,opportunity
opportunity__demand_oriented__demand_sat,opportunity__demand_oriented__demand_tr,0.9913,0.8462,0.0106,0.015,186,186,demand_variant,1,opportunity
opportunity__demand_oriented__demand_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.9885,0.8616,0.0339,0.0156,166,166,scenario,1,opportunity
opportunity__demand_oriented__demand_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.9834,0.7466,0.0411,0.0215,324,324,"demand_variant,scenario",2,opportunity
opportunity__demand_oriented__demand_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.9756,0.5545,0.0687,0.0286,640,640,scenario,1,opportunity
opportunity__demand_oriented__demand_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.9692,0.4342,0.0735,0.0338,881,881,"demand_variant,scenario",2,opportunity
opportunity__demand_oriented__demand_tr,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.9911,0.8001,0.0258,0.0128,248,248,"demand_variant,scenario",2,opportunity
opportunity__demand_oriented__demand_tr,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.9925,0.803,0.0325,0.011,244,244,scenario,1,opportunity
opportunity__demand_oriented__demand_tr,opportunity__infrastructure_readiness_oriented__demand_sat,0.9828,0.5566,0.0605,0.0213,636,636,"demand_variant,scenario",2,opportunity
opportunity__demand_oriented__demand_tr,opportunity__infrastructure_readiness_oriented__demand_tr,0.9797,0.4406,0.0652,0.0251,867,867,scenario,1,opportunity
opportunity__first_last_mile_transit_integration_oriented__demand_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.9983,0.8485,0.0085,0.0069,183,183,demand_variant,1,opportunity
opportunity__first_last_mile_transit_integration_oriented__demand_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.9931,0.6293,0.0349,0.0137,508,508,scenario,1,opportunity
opportunity__first_last_mile_transit_integration_oriented__demand_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.989,0.4992,0.0397,0.019,746,746,"demand_variant,scenario",2,opportunity
opportunity__first_last_mile_transit_integration_oriented__demand_tr,opportunity__infrastructure_readiness_oriented__demand_sat,0.9942,0.6994,0.028,0.0115,395,395,"demand_variant,scenario",2,opportunity
opportunity__first_last_mile_transit_integration_oriented__demand_tr,opportunity__infrastructure_readiness_oriented__demand_tr,0.9917,0.5599,0.0326,0.0146,630,630,scenario,1,opportunity
opportunity__infrastructure_readiness_oriented__demand_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.9989,0.803,0.0055,0.0056,244,244,demand_variant,1,opportunity
