access_point_id,stop_id,raw_stop_id,stop_name,mode,source_feed,district,in_system_a,in_system_b
iett_909598__bus,iett_909598,909598,İMAM BUHARİ CAMİİ,bus,iett_gtfs,Pendik,True,False
iett_909595__bus,iett_909595,909595,İMAM BUHARİ CAMİİ,bus,iett_gtfs,Pendik,True,False
iett_909461__bus,iett_909461,909461,KUĞU SOKAK,bus,iett_gtfs,Sancaktepe,True,False
iett_909460__bus,iett_909460,909460,KUĞU SOKAK,bus,iett_gtfs,Sancaktepe,True,False
iett_5249709__bus,iett_5249709,5249709,ENSAR CADDESİ GİRİŞİ,bus,iett_gtfs,Pendik,True,False
iett_909599__bus,iett_909599,909599,GÜL GONCASI SOKAK,bus,iett_gtfs,Pendik,True,False
iett_5249858__bus,iett_5249858,5249858,NAMAZ SOKAK,bus,iett_gtfs,Sultanbeyli,True,False
iett_5249707__bus,iett_5249707,5249707,NEDİM SİPAHİ CADDESİ,bus,iett_gtfs,Çekmeköy,True,False
iett_5249698__bus,iett_5249698,5249698,TURGUT ÖZAL CADDESİ,bus,iett_gtfs,Sancaktepe,True,False
iett_909458__bus,iett_909458,909458,TURGUT ÖZAL CADDESİ,bus,iett_gtfs,Sancaktepe,True,False
iett_292998__bus,iett_292998,292998,ÇUBUKLU MUHTARLIĞI,bus,iett_gtfs,Beykoz,True,False
iett_292999__bus,iett_292999,292999,ÇUBUKLU MUHTARLIĞI,bus,iett_gtfs,Beykoz,True,False
iett_909462__bus,iett_909462,909462,ŞEHİT ALAATTİN BULUÇ SOKAK,bus,iett_gtfs,Beykoz,True,False
iett_909608__bus,iett_909608,909608,ÇOLAKOĞLU SOKAK,bus,iett_gtfs,Sancaktepe,True,False
iett_5249694__bus,iett_5249694,5249694,ABDULHAMİT CADDESİ,bus,iett_gtfs,Sancaktepe,True,False
iett_580359__bus,iett_580359,580359,TEPEÜSTÜ KAVŞAĞI,bus,iett_gtfs,Ümraniye,True,False
iett_909613__bus,iett_909613,909613,BULGURLU METRO,bus,iett_gtfs,Üsküdar,True,False
iett_681387__bus,iett_681387,681387,BULGURLU METRO,bus,iett_gtfs,Üsküdar,True,False
iett_5249870__bus,iett_5249870,5249870,ÇİFTEÇINARLAR,bus,iett_gtfs,Beykoz,True,False
iett_631__bus,iett_631,631,AHMET YÜKSEL ÖZEMRE CADDESİ,bus,iett_gtfs,Pendik,True,False
iett_5249536__bus,iett_5249536,5249536,FEVZİ ÇAKMAK DEPREM PARKI,bus,iett_gtfs,Pendik,True,False
iett_5249506__bus,iett_5249506,5249506,ESENKAYA SOKAK,bus,iett_gtfs,Tuzla,True,False
iett_5249867__bus,iett_5249867,5249867,ESENKAYA SOKAK,bus,iett_gtfs,Tuzla,True,False
iett_5249565__bus,iett_5249565,5249565,SEVDA SOKAK,bus,iett_gtfs,Tuzla,True,False
iett_5249863__bus,iett_5249863,5249863,SEVDA SOKAK,bus,iett_gtfs,Tuzla,True,False
iett_5249507__bus,iett_5249507,5249507,SOĞANLIK GÜMÜŞPINAR CAMİ,bus,iett_gtfs,Kartal,True,False
