feature,n_valid,n_missing,min,p5,p25,median,p75,p95,max,mean,std,iqr,zero_prevalence_pct,skewness,n_unique,flag_extreme_skew,flag_near_zero_variance,flag_very_sparse
supermarket_count,22322,0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.17888182062539199,0.9211249457751428,0.0,93.41,8.436,19,True,False,True
retail_count,22322,0,0.0,0.0,0.0,0.0,0.0,2.0,419.0,1.0918376489561867,9.38894621108728,0.0,90.67,22.162,122,True,False,True
office_count,22322,0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,0.19147029836036197,1.3745603162887403,0.0,93.56,20.022,32,True,False,True
tourism_count,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.14505868649762566,2.1810270908165923,0.0,95.49,37.265,42,True,False,True
leisure_count,22322,0,0.0,0.0,0.0,0.0,0.0,5.0,233.0,0.9580682734521996,4.686425094550879,0.0,82.51,18.537,72,True,False,False
total_poi_count,22322,0,0.0,0.0,0.0,0.0,0.0,16.0,530.0,3.5331063524773767,17.966839261310756,0.0,77.23,14.019,187,True,False,False
poi_density_km2,22322,0,0.0,0.0,0.0,0.0,0.0,72.0,2120.0,14.900391666878859,74.1831967216569,0.0,77.23,13.399,719,True,False,False
poi_category_count,22322,0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.7405698414120598,1.8188249464466941,0.0,77.23,2.975,13,False,False,False
poi_entropy,22322,0,-0.0,0.0,0.0,0.0,0.0,1.96981578242681,3.2037016960573483,0.23694872600441638,0.628204172081864,0.0,85.55,2.613,1391,False,False,False
population_worldpop_raw,22322,0,0.0,0.0,0.0,0.0,185.9273207674091,4839.621897068958,21202.744420881318,741.7560084300484,2107.3355452597043,185.9273207674091,56.68,4.232,9672,True,False,False
population_density_worldpop_raw_km2,22322,0,0.0,0.0,0.0,0.0,808.1632534540897,19682.831048585605,84810.97768352527,3028.687298768925,8478.369707040467,808.1632534540897,56.68,4.168,9672,True,False,False
population_calibrated,22322,0,0.0,0.0,0.0,0.0,178.90701811759828,4856.635285067329,17294.742945955055,692.3916072950686,1861.098414188679,178.90701811759828,56.68,3.664,9672,True,False,False
population_density_calibrated_km2,22322,0,0.0,0.0,0.0,0.0,759.3127129305135,19712.405646225237,69178.97178382022,2831.53637376699,7492.546493823524,759.3127129305135,56.68,3.6,9672,True,False,False
mean_elevation_m,22322,0,-11.935310363769531,11.180268096923827,58.5,106.11650085449219,160.34008407592773,236.07328033447268,491.23223876953125,114.01673126220703,72.53443908691406,101.84008407592773,0.05,0.727,22154,False,False,False
median_elevation_m,22322,0,-13.747312545776367,9.226427125930787,58.20922660827637,106.21047973632812,160.9189109802246,236.60679092407227,495.18115234375,114.01496124267578,73.2394790649414,102.70968437194824,0.17,0.709,21887,False,False,False
min_elevation_m,22322,0,-34.66374206542969,1.5,31.514329433441162,76.81597900390625,129.32126998901367,207.5525672912598,427.2306823730469,87.2010726928711,67.67280578613281,97.80694055557251,1.66,0.837,21023,False,False,False
max_elevation_m,22322,0,0.0,26.32654695510864,85.9603328704834,135.08404541015625,188.58477020263672,272.14033355712894,536.0764770507812,140.96751403808594,76.49333190917969,102.62443733215332,0.05,0.668,22146,False,False,False
elevation_std_m,22322,0,0.0,2.987520086765289,7.255581855773926,11.61965560913086,17.272493362426758,28.240868473052988,78.78297424316406,13.078339576721191,7.971216201782227,10.016911506652832,0.74,1.141,22150,False,False,False
elevation_range_m,22322,0,0.0,14.130756187438966,31.469715118408203,48.79685974121094,70.5911808013916,111.49018478393563,289.52471923828125,53.76643371582031,30.456188201904297,39.1214656829834,0.74,0.997,22143,False,False,False
mean_slope_deg,22322,0,0.0,1.7838280141353606,4.010823965072632,6.564517498016357,9.926249027252197,15.793715333938598,35.979095458984375,7.345823287963867,4.341642379760742,5.915425062179565,0.68,0.843,22164,False,False,False
median_slope_deg,22322,0,0.0,1.3954483985900878,3.637216329574585,6.1917405128479,9.693664789199829,16.15831747055054,36.674400329589844,7.101591110229492,4.554431438446045,6.056448459625244,1.6,0.946,21961,False,False,False
max_slope_deg,22322,0,0.0,4.784552812576294,10.248653411865234,15.660619735717773,21.940192222595215,31.239491748809815,55.276641845703125,16.51288414001465,8.164850234985352,11.69153881072998,0.68,0.454,22160,False,False,False
slope_std_deg,22322,0,0.0,0.8187179654836655,1.957007348537445,3.116229295730591,4.496126055717468,6.885476732254029,15.152058601379395,3.380645275115967,1.8935645818710327,2.539118707180023,0.68,0.821,22161,False,False,False
