cluster,feature,raw_median,raw_q1,raw_q3,raw_iqr,citywide_percentile_of_cluster_median,pct_deviation_from_50
2,distance_to_nearest_tram_m,15829.870910969696,9377.607954568211,21896.72417019182,12519.11621562361,21.1,28.9
3,distance_to_nearest_tram_m,2813.2988727954016,1001.7019732650324,8016.573361667104,7014.871388402072,3.2,46.8
4,distance_to_nearest_tram_m,59293.42789404533,51835.285015651345,66399.97554498173,14564.690529330386,82.9,32.9
0,rail_station_count,0.0,0.0,0.0,0.0,49.9,0.1
1,rail_station_count,0.0,0.0,0.0,0.0,49.9,0.1
2,rail_station_count,0.0,0.0,0.0,0.0,49.9,0.1
3,rail_station_count,0.0,0.0,0.0,0.0,49.9,0.1
4,rail_station_count,0.0,0.0,0.0,0.0,49.9,0.1
0,distance_to_nearest_rail_m,8950.04981041787,4695.447553131024,15061.28425069456,10365.836697563536,17.3,32.7
1,distance_to_nearest_rail_m,20927.415288861554,14415.186807170983,26791.425692099034,12376.23888492805,41.2,8.8
2,distance_to_nearest_rail_m,5736.380834990867,2560.3343370670373,10781.990962588236,8221.656625521198,11.1,38.9
3,distance_to_nearest_rail_m,3570.5709934820825,1213.4390557893644,6625.714359414977,5412.275303625613,7.1,42.9
4,distance_to_nearest_rail_m,46447.72880608183,39412.82729442368,53242.09219400073,13829.26489957705,82.9,32.9
0,ferry_terminal_count,0.0,0.0,0.0,0.0,49.9,0.1
1,ferry_terminal_count,0.0,0.0,0.0,0.0,49.9,0.1
2,ferry_terminal_count,0.0,0.0,0.0,0.0,49.9,0.1
3,ferry_terminal_count,0.0,0.0,0.0,0.0,49.9,0.1
4,ferry_terminal_count,0.0,0.0,0.0,0.0,49.9,0.1
0,distance_to_nearest_ferry_m,7193.335487482551,3790.4278550015406,14526.791945808967,10736.364090807427,15.2,34.8
1,distance_to_nearest_ferry_m,20088.793051053835,12504.708621103058,27101.28703321695,14596.578412113893,41.3,8.7
2,distance_to_nearest_ferry_m,9349.584928716486,4796.352948873597,13552.302092934113,8755.949144060516,19.9,30.1
3,distance_to_nearest_ferry_m,3485.7426542650055,1794.8755494081142,6378.992211128285,4584.116661720171,6.1,43.9
