cluster,feature,raw_median,raw_q1,raw_q3,raw_iqr,citywide_percentile_of_cluster_median,pct_deviation_from_50
2,mean_slope_deg,4.79172945022583,3.7788009643554688,6.164122104644775,2.3853211402893066,33.1,16.9
3,mean_slope_deg,4.702640533447266,3.548114061355591,6.697766304016113,3.1496522426605225,32.2,17.8
4,mean_slope_deg,6.569479942321777,3.6941989064216614,10.846538305282593,7.152339398860931,50.1,0.1
5,mean_slope_deg,5.752335071563721,3.7853548526763916,8.706000804901123,4.9206459522247314,42.8,7.2
6,mean_slope_deg,7.338782787322998,4.694440484046936,10.24479603767395,5.550355553627014,56.7,6.7
0,pct_area_slope_3_6deg,31.61764705882353,19.485294117647058,43.54455017301038,24.05925605536332,64.0,14.0
1,pct_area_slope_3_6deg,40.830449826989614,32.35294117647059,46.69117647058824,14.338235294117652,77.8,27.8
2,pct_area_slope_3_6deg,38.75432525951557,29.296875,45.588235294117645,16.291360294117645,74.8,24.8
3,pct_area_slope_3_6deg,35.98615916955018,25.36764705882353,44.840263691683575,19.472616632860046,70.7,20.7
4,pct_area_slope_3_6deg,20.415224913494807,8.823529411764707,38.60294117647059,29.77941176470588,45.4,4.6
5,pct_area_slope_3_6deg,26.643598615916954,13.905709342560554,40.51780508405308,26.612095741492524,56.3,6.3
6,pct_area_slope_3_6deg,19.852941176470587,10.294117647058822,34.55882352941176,24.26470588235294,44.3,5.7
0,pct_area_slope_6_10deg,20.22058823529412,9.191176470588236,32.404641544117645,23.21346507352941,46.7,3.3
1,pct_area_slope_6_10deg,23.875432525951556,14.53287197231834,33.910034602076124,19.377162629757784,54.2,4.2
2,pct_area_slope_6_10deg,21.484375,12.45674740484429,30.859375,18.40262759515571,49.4,0.6
3,pct_area_slope_6_10deg,18.685121107266436,10.076824847586092,30.14705882352941,20.070233975943317,43.5,6.5
4,pct_area_slope_6_10deg,18.33910034602076,7.26643598615917,31.141868512110726,23.875432525951556,42.7,7.3
5,pct_area_slope_6_10deg,21.10726643598616,9.342560553633218,32.56334207891301,23.22078152527979,48.5,1.5
6,pct_area_slope_6_10deg,24.91349480968858,11.418685121107266,37.0242214532872,25.60553633217993,56.2,6.2
0,metro_station_count,0.0,0.0,0.0,0.0,49.7,0.3
1,metro_station_count,0.0,0.0,0.0,0.0,49.7,0.3
